iter	Accuracy	Logloss
0	0.5397353497	0.6919320876
1	0.544536862	0.6908566718
2	0.5479017013	0.689872263
3	0.550510397	0.6888097077
4	0.5539697543	0.6879730925
5	0.5559546314	0.6872251826
6	0.557221172	0.6864995363
7	0.558241966	0.6859513869
8	0.5591115312	0.6854053285
9	0.5580151229	0.6849645403
10	0.5587901701	0.6845262257
11	0.559584121	0.6840752738
12	0.5597542533	0.6835276418
13	0.5618714556	0.6831135051
14	0.5610396975	0.6828551089
15	0.5621928166	0.6825497774
16	0.5624574669	0.682282174
17	0.5626086957	0.682010613
18	0.5634404537	0.6817440183
19	0.5633459357	0.6814740774
20	0.5641776938	0.6811998703
21	0.5644045369	0.680999351
22	0.5650283554	0.6807580482
23	0.5656521739	0.6804441854
24	0.5656521739	0.6802633207
25	0.5659924386	0.6800211591
26	0.5665217391	0.6797465342
27	0.5669565217	0.6795427423
28	0.5671833648	0.6793273653
29	0.567637051	0.6791837547
30	0.5674858223	0.67908369
31	0.5672778828	0.6788300617
32	0.5680151229	0.6785688753
33	0.5687901701	0.6784159882
34	0.5688468809	0.6781891788
35	0.569168242	0.6780506763
36	0.5694139887	0.6778671061
37	0.5691493384	0.6777127114
38	0.5703969754	0.6775507374
39	0.5702646503	0.6773846654
40	0.5703402647	0.6772552669
41	0.5705293006	0.6770622757
42	0.5710396975	0.6768932007
43	0.5712854442	0.6767115481
44	0.5714555766	0.676565205
45	0.5724952741	0.6763831403
46	0.5723062382	0.6762118356
47	0.57268431	0.6760888318
48	0.5729678639	0.6759887338
49	0.5728544423	0.6758514687
50	0.5731568998	0.6757701656
51	0.5745557656	0.6754649251
52	0.5747826087	0.6753261063
53	0.5751984877	0.6751634378
54	0.5758412098	0.6750674787
55	0.5759357278	0.6748964426
56	0.5761436673	0.6747019913
57	0.576389414	0.6746012999
58	0.5761247637	0.6745180633
59	0.5767863894	0.6743805361
60	0.5769376181	0.6742292538
61	0.5779017013	0.6739964131
62	0.578147448	0.6739216462
63	0.5783175803	0.6737005872
64	0.5788468809	0.6735848955
65	0.5793572779	0.6733930359
66	0.5794328922	0.6732637755
67	0.5796597353	0.6730997317
68	0.5803213611	0.6729885165
69	0.5807372401	0.6728237761
70	0.5805482042	0.6726867628
71	0.5809451796	0.6726081156
72	0.5806805293	0.6723966959
73	0.5809073724	0.6723160138
74	0.5808506616	0.67224945
75	0.5811531191	0.6721609745
76	0.581436673	0.6720450814
77	0.5823062382	0.6718840916
78	0.5824385633	0.6717892397
79	0.5828166352	0.671675688
80	0.5828166352	0.6716131995
81	0.5827032136	0.6715248432
82	0.583100189	0.6713711535
83	0.5826465028	0.671279049
84	0.5834215501	0.6711554205
85	0.5840831758	0.6709804689
86	0.5840453686	0.6707906502
87	0.5841965974	0.6706883197
88	0.584536862	0.6705715878
89	0.5848015123	0.6704650815
90	0.5856899811	0.6703067513
91	0.5860869565	0.6701442668
92	0.5857844991	0.6700463677
93	0.5860113422	0.6699461816
94	0.5865028355	0.6698372804
95	0.5877693762	0.6696835681
96	0.5880529301	0.6695723224
97	0.5880340265	0.6694791347
98	0.5880340265	0.6693949304
99	0.5890926276	0.669317626
100	0.5894328922	0.6692190305
101	0.5896408318	0.6690963384
102	0.5896030246	0.6689559558
103	0.5899243856	0.6688113656
104	0.5899243856	0.6686864183
105	0.590094518	0.668498731
106	0.5901701323	0.6683007585
107	0.5904347826	0.6681571509
108	0.5907939509	0.6680697303
109	0.5912098299	0.6679579975
110	0.5912665406	0.6677678355
111	0.5918903592	0.6676526912
112	0.592362949	0.6674789961
113	0.5927599244	0.6673136332
114	0.5933081285	0.6671873801
115	0.5934593573	0.6670470314
116	0.5933459357	0.6668965836
117	0.5939130435	0.6667824807
118	0.5943289225	0.6666912198
119	0.5943289225	0.6665865732
