iter	Passed	Remaining
0	23	47129
1	64	64725
2	108	72250
3	150	75280
4	174	69465
5	196	65413
6	219	62494
7	243	60687
8	267	59219
9	290	57742
10	313	56762
11	337	55873
12	378	57784
13	405	57497
14	428	56716
15	452	56123
16	489	57056
17	530	58459
18	573	59802
19	620	61387
20	661	62293
21	705	63390
22	747	64210
23	788	64925
24	829	65531
25	874	66365
26	918	67123
27	961	67724
28	1010	68645
29	1055	69330
30	1100	69907
31	1145	70437
32	1193	71114
33	1238	71614
34	1280	71904
35	1322	72149
36	1362	72278
37	1385	71558
38	1408	70843
39	1431	70165
40	1454	69496
41	1478	68919
42	1501	68334
43	1524	67758
44	1546	67206
45	1587	67434
46	1630	67757
47	1656	67376
48	1680	66915
49	1721	67126
50	1751	66918
51	1792	67135
52	1814	66667
53	1837	66208
54	1864	65948
55	1888	65543
56	1909	65092
57	1932	64705
58	1955	64316
59	1977	63950
60	2000	63594
61	2023	63237
62	2044	62845
63	2066	62519
64	2090	62220
65	2115	62002
66	2139	61732
67	2177	61869
68	2218	62095
69	2255	62181
70	2293	62304
71	2333	62477
72	2369	62542
73	2404	62587
74	2444	62743
75	2483	62868
76	2520	62956
77	2561	63109
78	2608	63418
79	2647	63528
80	2689	63718
81	2734	63959
82	2774	64083
83	2815	64215
84	2856	64345
85	2884	64197
86	2906	63906
87	2928	63637
88	2951	63380
89	2974	63126
90	2997	62891
91	3021	62653
92	3044	62418
93	3066	62170
94	3088	61937
95	3111	61709
96	3133	61481
97	3157	61274
98	3178	61039
99	3199	60797
100	3221	60566
101	3244	60377
102	3267	60188
103	3290	59991
104	3313	59801
105	3335	59591
106	3357	59398
107	3381	59238
108	3403	59045
109	3425	58863
110	3450	58725
111	3473	58545
112	3494	58356
113	3516	58173
114	3538	58000
115	3561	57839
116	3587	57739
117	3612	57613
118	3641	57553
119	3664	57407
120	3687	57256
121	3710	57124
122	3734	56990
123	3777	57145
124	3817	57255
125	3849	57258
126	3889	57355
127	3927	57445
128	3967	57547
129	4008	57667
130	4049	57771
131	4092	57910
132	4134	58040
133	4176	58160
134	4218	58276
135	4257	58356
136	4299	58465
137	4324	58344
138	4369	58501
139	4410	58596
140	4454	58726
141	4496	58830
142	4538	58936
143	4564	58829
144	4587	58688
145	4609	58528
146	4633	58408
147	4656	58274
148	4679	58127
149	4701	57986
150	4724	57854
151	4746	57704
152	4769	57571
153	4791	57433
154	4816	57335
155	4843	57248
156	4866	57125
157	4887	56984
158	4910	56854
159	4934	56741
160	4956	56615
161	4979	56500
162	5002	56376
163	5024	56253
164	5048	56140
165	5070	56024
166	5102	56009
167	5142	56076
168	5184	56171
169	5207	56059
170	5230	55945
171	5253	55831
172	5276	55722
173	5301	55631
174	5324	55526
175	5347	55415
176	5368	55291
177	5394	55212
178	5436	55307
179	5467	55284
180	5490	55181
181	5512	55069
182	5552	55130
183	5593	55204
184	5635	55292
185	5676	55365
186	5719	55454
187	5761	55527
188	5799	55574
189	5841	55651
190	5883	55725
191	5925	55802
192	5965	55854
193	6008	55930
194	6051	56011
195	6089	56048
196	6131	56115
197	6174	56191
198	6215	56254
199	6243	56187
200	6266	56084
201	6288	55977
202	6312	55876
203	6335	55781
204	6358	55672
205	6381	55571
206	6406	55487
207	6429	55388
208	6450	55279
209	6473	55175
210	6496	55077
211	6517	54971
212	6540	54872
213	6564	54783
214	6592	54732
215	6616	54647
216	6641	54573
217	6668	54511
218	6690	54410
219	6713	54317
220	6735	54218
221	6757	54124
222	6781	54042
223	6805	53957
224	6830	53883
225	6853	53793
226	6876	53708
227	6902	53645
228	6926	53565
229	6948	53476
230	6971	53386
231	6993	53293
232	7015	53203
233	7037	53111
234	7069	53097
235	7104	53102
236	7132	53057
237	7157	52989
238	7184	52934
239	7206	52847
240	7246	52892
241	7286	52935
242	7325	52964
243	7365	53009
244	7410	53084
245	7450	53124
246	7491	53168
247	7531	53208
248	7571	53243
249	7612	53284
250	7652	53326
251	7679	53268
252	7702	53184
253	7726	53109
254	7770	53172
255	7812	53221
256	7854	53266
257	7900	53340
258	7940	53376
259	7982	53419
260	8005	53338
261	8028	53259
262	8051	53178
263	8074	53093
264	8096	53009
265	8119	52932
266	8142	52851
267	8168	52789
268	8207	52813
269	8229	52732
270	8253	52659
271	8278	52591
272	8299	52505
273	8322	52422
274	8345	52347
275	8367	52267
276	8390	52189
277	8414	52124
278	8437	52049
279	8460	51968
280	8484	51903
281	8507	51828
282	8551	51885
283	8576	51824
284	8599	51744
285	8622	51672
286	8645	51599
287	8672	51551
288	8695	51480
289	8718	51410
290	8741	51334
291	8765	51271
292	8787	51196
293	8814	51148
294	8839	51090
295	8863	51023
296	8885	50946
297	8910	50894
298	8952	50933
299	8994	50971
300	9035	51001
301	9077	51036
302	9121	51085
303	9162	51116
304	9202	51141
305	9227	51082
306	9249	51010
307	9290	51038
308	9332	51072
309	9367	51065
310	9389	50990
311	9418	50956
312	9460	50988
313	9504	51031
314	9544	51056
315	9586	51085
316	9629	51125
317	9666	51126
318	9688	51056
319	9711	50984
320	9735	50920
321	9774	50937
322	9799	50878
323	9822	50809
324	9845	50741
325	9868	50675
326	9891	50607
327	9914	50540
328	9937	50475
329	9959	50402
330	9982	50333
331	10005	50267
332	10030	50210
333	10056	50163
334	10081	50105
335	10103	50035
336	10125	49967
337	10148	49900
338	10174	49849
339	10196	49781
340	10218	49714
341	10240	49643
342	10264	49586
343	10286	49520
344	10308	49451
345	10331	49388
346	10354	49323
347	10376	49259
348	10398	49192
349	10425	49147
350	10461	49147
351	10484	49087
352	10509	49033
353	10544	49030
354	10567	48965
355	10590	48907
356	10613	48847
357	10643	48817
358	10684	48837
359	10723	48849
360	10764	48872
361	10806	48896
362	10847	48920
363	10886	48931
364	10925	48942
365	10966	48960
366	11007	48979
367	11048	48999
368	11076	48958
369	11106	48928
370	11143	48930
371	11188	48963
372	11214	48915
373	11256	48940
374	11297	48954
375	11336	48964
376	11360	48908
377	11384	48849
378	11405	48783
379	11429	48725
380	11453	48668
381	11474	48602
382	11497	48541
383	11520	48480
384	11545	48430
385	11569	48377
386	11592	48318
387	11615	48258
388	11637	48197
389	11660	48138
390	11696	48131
391	11738	48151
392	11781	48173
393	11822	48190
394	11845	48133
395	11869	48076
396	11892	48017
397	11934	48039
398	11957	47981
399	11980	47922
400	12003	47865
401	12025	47803
402	12066	47814
403	12090	47764
404	12118	47724
405	12141	47668
406	12165	47616
407	12188	47558
408	12211	47500
409	12234	47444
410	12257	47390
411	12280	47333
412	12304	47282
413	12329	47233
414	12371	47251
415	12415	47273
416	12456	47285
417	12500	47309
418	12539	47314
419	12577	47313
420	12619	47331
421	12661	47345
422	12701	47354
423	12744	47369
424	12782	47371
425	12808	47325
426	12845	47322
427	12892	47352
428	12920	47316
429	12967	47345
430	13012	47369
431	13046	47354
432	13077	47324
433	13099	47268
434	13121	47208
435	13143	47147
436	13165	47087
437	13188	47031
438	13213	46985
439	13237	46932
440	13260	46877
441	13283	46821
442	13304	46760
443	13326	46704
444	13349	46649
445	13373	46596
446	13396	46543
447	13419	46489
448	13445	46445
449	13470	46396
450	13493	46344
451	13516	46291
452	13539	46237
453	13561	46180
454	13584	46126
455	13607	46076
456	13630	46021
457	13652	45967
458	13675	45914
459	13699	45862
460	13724	45816
461	13746	45762
462	13768	45708
463	13793	45659
464	13815	45607
465	13838	45554
466	13860	45499
467	13884	45449
468	13905	45394
469	13929	45343
470	13952	45294
471	13992	45296
472	14014	45244
473	14045	45219
474	14084	45217
475	14128	45235
476	14172	45249
477	14214	45259
478	14253	45260
479	14295	45269
480	14334	45267
481	14376	45276
482	14418	45286
483	14461	45297
484	14492	45270
485	14530	45266
486	14572	45272
487	14614	45280
488	14654	45281
489	14695	45284
490	14733	45281
491	14755	45224
492	14779	45179
493	14802	45126
494	14826	45079
495	14848	45025
496	14870	44971
497	14893	44920
498	14916	44868
499	14940	44820
500	14964	44773
501	14988	44727
502	15018	44697
503	15041	44647
504	15065	44599
505	15088	44550
506	15112	44503
507	15134	44451
508	15157	44400
509	15181	44352
510	15202	44299
511	15225	44250
512	15248	44201
513	15271	44150
514	15293	44098
515	15317	44051
516	15339	44001
517	15362	43952
518	15385	43903
519	15407	43853
520	15431	43806
521	15453	43755
522	15478	43712
523	15500	43661
524	15522	43611
525	15544	43559
526	15566	43509
527	15590	43464
528	15614	43419
529	15639	43378
530	15664	43334
531	15686	43284
532	15709	43236
533	15753	43248
534	15796	43255
535	15840	43264
536	15878	43259
537	15919	43262
538	15962	43266
539	16001	43264
540	16042	43263
541	16089	43280
542	16126	43270
543	16157	43245
544	16180	43197
545	16207	43160
546	16251	43168
547	16300	43191
548	16342	43192
549	16383	43194
